"","BOROUGH","NEIGHBORHOOD","BUILDING_CATEGORY","TAX_CLASS","BLOCK","LOT","EASEMENT","BUILDING_CLASS","ADDRESS","APT_NUMBER","ZIP_CODE","RES_UNITS","COM_UNITS","TOTAL_UNITS","LAND_SQ_FT","BUILD_SQ_FT","YEAR_BUILT","TAX_CLASS_AT_SALE","BUILD_CLASS_AT_SALE","SALE_PRICE","SALE_DATE","BC_NUM","lon","lat","optional","SCHOOLDIST","BORO","INITIALS","CREAT_DATE","EDIT_DATE","ZONED_DIST","BORO_NUM","Shape_Leng","Shape_Area","REMARKS","DBN","ESID_NO","Label"
"1",3,"BOERUM HILL              ","01  ONE FAMILY DWELLINGS                    ","1",188,45," ","A4","126 HOYT STREET                          ","            ",11217,1,0,1,1823,3600,1915,1,"A4",8800000,2014-11-18,1,-73.988015,40.686672,TRUE,15,"BK","BG","08/06/2001",NA,15,3,19931.3183246,8769958.85801,NA,"15K261",116,"261"
"2",3,"BOERUM HILL              ","01  ONE FAMILY DWELLINGS                    ","1",189,42," ","A4","193 DEAN STREET                          ","            ",11217,1,0,1,2000,3201,1899,1,"A4",1300000,2015-02-25,1,-73.985913,40.685955,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"3",3,"BOERUM HILL              ","01  ONE FAMILY DWELLINGS                    ","1",190,39," ","A4","245 DEAN STREET                          ","            ",11217,1,0,1,2100,3780,1915,1,"A4",0,2014-09-05,1,-73.983984,40.685208,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"4",3,"BOERUM HILL              ","01  ONE FAMILY DWELLINGS                    ","1",190,130," ","A9","112 NEVINS STREET                        ","            ",11217,1,0,1,859,874,1920,1,"A9",2100100,2014-10-08,1,-73.983462,40.685186,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"5",3,"BOERUM HILL              ","01  ONE FAMILY DWELLINGS                    ","1",192,26," ","A4","5341/2 PACIFIC STREET                    ","            ",11217,1,0,1,1450,2464,1915,1,"A4",2250000,2015-02-06,1,-73.9795348,40.6839469,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"6",3,"BOERUM HILL              ","01  ONE FAMILY DWELLINGS                    ","1",196,63," ","A4","203 BERGEN STREET                        ","            ",11217,1,0,1,1875,2160,1910,1,"A4",2e+06,2015-04-16,1,-73.985437,40.684982,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"7",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",177,50," ","S2","367 ATLANTIC AVENUE                      ","            ",11217,2,1,3,2250,4451,1899,1,"S2",2825000,2015-01-15,2,-73.985941,40.687629,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"8",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",180,12," ","B3","530 STATE STREET                         ","            ",11217,2,0,2,1800,2640,1899,1,"B3",2700000,2014-09-22,2,-73.979676,40.685462,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"9",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",180,12," ","B3","530 STATE STREET                         ","            ",11217,2,0,2,1800,2640,1899,1,"B3",0,2014-07-21,2,-73.979676,40.685462,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"10",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",183,49," ","B1","367A PACIFIC STREET                      ","            ",11217,2,0,2,1403,1824,1899,1,"B1",2300000,2015-01-30,2,-73.986075,40.6868089,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"11",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",185,35," ","B9","495 PACIFIC STREET                       ","            ",11217,2,0,2,2000,3876,1899,1,"B9",0,2014-09-05,2,-73.9813999,40.68502,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"12",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",192,43," ","B1","365 DEAN STREET                          ","            ",11217,2,0,2,1383,2720,1920,1,"B1",0,2014-10-08,2,-73.979465,40.683427,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"13",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",195,44," ","B3","181 BERGEN STREET                        ","2.000000",11217,2,0,2,1942,3109,1899,1,"B3",3150000,2015-05-07,2,-73.9865389,40.685402,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"14",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",195,44," ","B3","181 BERGEN STREET                        ","2.000000",11217,2,0,2,1942,3109,1899,1,"B3",2060000,2015-02-19,2,-73.9865389,40.685402,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"15",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",196,44," ","B9","235 BERGEN STREET                        ","            ",11217,2,0,2,2000,2880,1910,1,"B9",3495000,2014-11-10,2,-73.98426,40.684525,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"16",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",196,49," ","B3","225 BERGEN STREET                        ","            ",11217,2,0,2,2000,2880,1910,1,"B3",0,2014-10-23,2,-73.984581,40.68465,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"17",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",386,20," ","B3","162 BERGEN STREET                        ","            ",11217,2,0,2,2183,3360,1899,1,"B3",4375000,2015-02-02,2,-73.9874747,40.6854051,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"18",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",386,32," ","B9","1841/2 BERGEN STREET                     ","            ",11217,2,0,2,1942,3112,1899,1,"B9",0,2014-07-25,2,-73.9350505,40.6751981,TRUE,16,"BK","BG","08/01/2001","9/2/04",16,3,10334.5864868,5552060.79973,NA,"16K243",62,"243"
"19",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",387,30," ","B9","232 BERGEN STREET                        ","            ",11217,2,0,2,2000,3500,1899,1,"B9",0,2015-04-29,2,-73.984888,40.68424,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"20",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",387,69," ","B9","215 WYCKOFF STREET                       ","            ",11217,2,0,2,1667,1772,1899,1,"B9",2100000,2014-08-19,2,-73.985664,40.68424,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"21",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",389,39," ","S2","78 4 AVENUE                              ","            ",11217,2,1,3,1656,3000,0,1,"S2",1274000,2014-07-15,2,-73.980174,40.682255,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"22",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",389,41," ","S2","80A 4 AVENUE                             ","            ",11217,2,1,3,1656,3000,1800,1,"S2",0,2015-02-10,2,-73.9801604,40.6822115,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"23",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",393,51," ","B9","465 WARREN STREET                        ","            ",11217,2,0,2,1800,1998,1899,1,"B9",4e+05,2015-03-26,2,-73.985673,40.683455,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"24",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",393,58," ","B9","451 WARREN STREET                        ","            ",11217,2,0,2,2000,2480,1899,1,"B9",1550000,2014-07-28,2,-73.986062,40.683606,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"25",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",393,60," ","B9","447 WARREN STREET                        ","            ",11217,2,0,2,1700,1887,1899,1,"B9",1430000,2014-12-08,2,-73.986179,40.683652,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"26",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",395,46," ","B1","583 WARREN STREET                        ","            ",11217,2,0,2,1675,2514,2001,1,"B1",314340,2015-04-24,2,-73.9809779,40.681651,TRUE,13,"BK","BG","08/07/2001","9/2/04",13,3,13143.5958959,6286029.74989,NA,"13K282",233,"282"
"27",3,"BOERUM HILL              ","02  TWO FAMILY DWELLINGS                    ","1",401,43," ","B9","114 4 AVENUE                             ","            ",11217,2,0,2,1347,1890,1899,1,"B9",1425000,2014-09-19,2,-73.981032,40.68099,TRUE,13,"BK","BG","08/07/2001","9/2/04",13,3,13143.5958959,6286029.74989,NA,"13K282",233,"282"
"28",3,"BOERUM HILL              ","03  THREE FAMILY DWELLINGS                  ","1",183,2," ","C0","105 HOYT STREET                          ","            ",11217,3,0,3,1500,2280,1899,1,"C0",2225000,2014-09-24,3,-73.987168,40.687187,TRUE,15,"BK","BG","08/06/2001",NA,15,3,19931.3183246,8769958.85801,NA,"15K261",116,"261"
"29",3,"BOERUM HILL              ","03  THREE FAMILY DWELLINGS                  ","1",386,51," ","C0","179 WYCKOFF STREET                       ","            ",11217,3,0,3,2000,2700,1899,1,"C0",1800000,2014-11-25,3,-73.986973,40.684785,TRUE,15,"BK","BG","08/06/2001",NA,15,3,19931.3183246,8769958.85801,NA,"15K261",116,"261"
"30",3,"BOERUM HILL              ","03  THREE FAMILY DWELLINGS                  ","1",389,63," ","C0","19 ST. MARKS PLACE                       ","            ",11217,3,0,3,2083,3600,1899,1,"C0",0,2015-02-18,3,-73.981624,40.682687,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"31",3,"BOERUM HILL              ","03  THREE FAMILY DWELLINGS                  ","1",395,22," ","C0","42 ST MARKS PLACE                        ","            ",11217,3,0,3,2033,3600,1899,1,"C0",1731025,2015-03-12,3,-73.981184,40.6820329,TRUE,13,"BK","BG","08/07/2001","9/2/04",13,3,13143.5958959,6286029.74989,NA,"13K282",233,"282"
"32",3,"BOERUM HILL              ","07  RENTALS - WALKUP APARTMENTS             ","2",177,11," ","C1","354 STATE STREET                         ","20.000000",11217,20,0,20,2500,9245,1920,2,"C1",14767299,2015-03-27,7,-73.985877,40.687867,TRUE,15,"BK","BG","08/06/2001",NA,15,3,19931.3183246,8769958.85801,NA,"15K261",116,"261"
"33",3,"BOERUM HILL              ","07  RENTALS - WALKUP APARTMENTS             ","2",177,12," ","C1","356 STATE STREET                         ","20.000000",11217,20,0,20,2250,9200,1920,2,"C1",0,2015-03-27,7,-73.9857759,40.687818,TRUE,15,"BK","BG","08/06/2001",NA,15,3,19931.3183246,8769958.85801,NA,"15K261",116,"261"
"34",3,"BOERUM HILL              ","07  RENTALS - WALKUP APARTMENTS             ","2",197,19," ","C1","274-276 DEAN STREET                      ","16.000000",11217,16,0,16,5000,13768,1900,2,"C1",5250000,2014-10-23,7,-73.982782,40.684258,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"35",3,"BOERUM HILL              ","08  RENTALS - ELEVATOR APARTMENTS           ","2",389,5," ","D3","101 3 AVENUE                             ","            ",11217,84,42,126,15000,69998,2014,2,"D3",52200000,2014-12-12,8,-73.981914,40.683028,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"36",3,"BOERUM HILL              ","09  COOPS - WALKUP APARTMENTS               ","2",185,48," ","C6","467 PACIFIC STREET, 3                    ","            ",11217,0,0,0,0,0,1912,2,"C6",325000,2014-10-23,9,-73.9823199,40.6853856,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"37",3,"BOERUM HILL              ","09  COOPS - WALKUP APARTMENTS               ","2",185,48," ","C6","467 PACIFIC STREET, 20                   ","            ",11217,0,0,0,0,0,1912,2,"C6",675000,2015-03-09,9,-73.9823199,40.6853856,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"38",3,"BOERUM HILL              ","10  COOPS - ELEVATOR APARTMENTS             ","2",178,54," ","D4","423 ATLANTIC AVENUE, 5D                  ","            ",11217,0,0,0,0,0,1900,2,"D4",1300270,2014-10-24,10,-73.9834659,40.6866642,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"39",3,"BOERUM HILL              ","10  COOPS - ELEVATOR APARTMENTS             ","2",178,54," ","D4","423 ATLANTIC AVENUE, 6D                  ","            ",11217,0,0,0,0,0,1900,2,"D4",999000,2014-12-18,10,-73.9834645,40.6867337,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"40",3,"BOERUM HILL              ","10  COOPS - ELEVATOR APARTMENTS             ","2",178,54," ","D4","423 ATLANTIC AVENUE, 2C                  ","            ",11217,0,0,0,0,0,1900,2,"D4",1150000,2015-06-09,10,-73.9834645,40.6867337,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
"41",3,"BOERUM HILL              ","12  CONDOS - WALKUP APARTMENTS              ","2",180,1026," ","R2","560 STATE STREET                         ","7H          ",11217,1,0,1,0,0,0,2,"R2",825000,2014-11-04,12,-73.9785704,40.6852273,TRUE,15,"BK","BG","08/06/2001",NA,15,3,13653.9710429,7795126.61592,NA,"15K038",114,"38"
