DBN,streeteasy_id
07X001,ps1-bronx
07X005,ps5-bronx
07X018,ps18-bronx
07X025,ps25-bronx
07X029,ps29-bronx
07X030,ps30-bronx
07X031,ps31-bronx
07X043,ps43-bronx
07X049,ps49-bronx
07X065,ps65-bronx
07X151,ps151-bronx
07X154,ps154-bronx
07X157,ps157-bronx
07X161,ps161-bronx
07X162,ps162-bronx
07X179,ps179-bronx
07X203,ps203-bronx
07X221,ps221-bronx
07X223,ps223-bronx
07X224,ps224-bronx
07X277,ps277-bronx
07X296,ps296-bronx
07X298,ps298-bronx
07X321,ps321-bronx
07X334,ps334-bronx
07X343,ps343-bronx
07X369,ps369-bronx
07X379,ps379-bronx
07X385,ps385-bronx
07X427,ps427-bronx
07X473,ps473-bronx
07X500,ps500-bronx
07X520,ps520-bronx
07X547,ps547-bronx
07X548,ps548-bronx
07X551,ps551-bronx
07X600,ps600-bronx
07X655,ps655-bronx
07X670,ps670-bronx
08X014,ps14-bronx
08X036,ps36-bronx
08X048,ps48-bronx
08X062,ps62-bronx
08X069,ps69-bronx
08X071,ps71-bronx
08X072,ps72-bronx
08X075,ps75-bronx
08X093,ps93-bronx
08X100,ps100-bronx
08X101,ps101-bronx
08X107,ps107-bronx
08X119,ps119-bronx
08X123,ps123-bronx
08X125,ps125-bronx
08X130,ps130-bronx
08X131,ps131-bronx
08X138,ps138-bronx
08X140,ps140-bronx
08X146,ps146-bronx
08X152,ps152-bronx
08X182,ps182-bronx
08X269,ps269-bronx
08X282,ps282-bronx
08X293,ps293-bronx
08X295,ps295-bronx
08X301,ps301-bronx
08X302,ps302-bronx
08X304,ps304-bronx
08X305,ps305-bronx
08X312,ps312-bronx
08X332,ps332-bronx
08X333,ps333-bronx
08X335,ps335-bronx
08X337,ps337-bronx
08X366,ps366-bronx
08X367,ps367-bronx
08X371,ps371-bronx
08X375,ps375-bronx
08X376,ps376-bronx
08X377,ps377-bronx
08X381,ps381-bronx
08X405,ps405-bronx
08X424,ps424-bronx
08X448,ps448-bronx
08X452,ps452-bronx
08X467,ps467-bronx
08X519,ps519-bronx
08X530,ps530-bronx
08X540,ps540-bronx
08X560,ps560-bronx
08X650,ps650-bronx
09X002,ps2-bronx
09X004,ps4-bronx
09X011,ps11-bronx
09X022,ps22-bronx
09X028,ps28-bronx
09X035,ps35-bronx
09X042,ps42-bronx
09X053,ps53-bronx
09X055,ps55-bronx
09X058,ps58-bronx
09X063,ps63-bronx
09X064,ps64-bronx
09X070,ps70-bronx
09X073,ps73-bronx
09X088,ps88-bronx
09X090,ps90-bronx
09X109,ps109-bronx
09X110,ps110-bronx
09X114,ps114-bronx
09X117,ps117-bronx
09X126,ps126-bronx
09X128,ps128-bronx
09X132,ps132-bronx
09X145,ps145-bronx
09X163,ps163-bronx
09X166,ps166-bronx
09X170,ps170-bronx
09X199,ps199-bronx
09X204,ps204-bronx
09X215,ps215-bronx
09X218,ps218-bronx
09X219,ps219-bronx
09X227,ps227-bronx
09X229,ps229-bronx
09X230,ps230-bronx
09X231,ps231-bronx
09X232,ps232-bronx
09X236,ps236-bronx
09X239,ps239-bronx
09X241,ps241-bronx
09X250,ps250-bronx
09X252,ps252-bronx
09X260,ps260-bronx
09X263,ps263-bronx
09X276,ps276-bronx
09X297,ps297-bronx
09X303,ps303-bronx
09X313,ps313-bronx
09X323,ps323-bronx
09X324,ps324-bronx
09X325,ps325-bronx
09X327,ps327-bronx
09X328,ps328-bronx
09X329,ps329-bronx
09X339,ps339-bronx
09X365,ps365-bronx
09X403,ps403-bronx
09X404,ps404-bronx
