DBN,streeteasy_id
01M015,ps15-manhattan
01M019,ps19-manhattan
01M020,ps20-manhattan
01M034,ps34-manhattan
01M063,ps63-manhattan
01M064,ps64-manhattan
01M110,ps110-manhattan
01M134,ps134-manhattan
01M137,ps137-manhattan
01M140,ps140-manhattan
01M142,ps142-manhattan
01M184,ps184-manhattan
01M188,ps188-manhattan
01M292,ps292-manhattan
01M301,ps301-manhattan
01M315,ps315-manhattan
01M332,ps332-manhattan
01M345,ps345-manhattan
01M361,ps361-manhattan
01M363,ps363-manhattan
01M364,ps364-manhattan
01M378,ps378-manhattan
01M448,ps448-manhattan
01M450,ps450-manhattan
01M509,ps509-manhattan
01M515,ps515-manhattan
01M539,ps539-manhattan
01M650,ps650-manhattan
01M696,ps696-manhattan
01M839,ps839-manhattan
02M001,ps1-manhattan
02M002,ps2-manhattan
02M003,ps3-manhattan
02M006,ps6-manhattan
02M011,ps11-manhattan
02M033,ps33-manhattan
02M040,ps40-manhattan
02M041,ps41-manhattan
02M042,ps42-manhattan
02M047,ps47-manhattan
02M051,ps51-manhattan
02M077,ps77-manhattan
02M089,ps89-manhattan
02M104,ps104-manhattan
02M111,ps111-manhattan
02M114,ps114-manhattan
02M116,ps116-manhattan
02M124,ps124-manhattan
02M126,ps126-manhattan
02M130,ps130-manhattan
02M131,ps131-manhattan
02M150,ps150-manhattan
02M158,ps158-manhattan
02M167,ps167-manhattan
02M183,ps183-manhattan
02M198,ps198-manhattan
02M212,ps212-manhattan
02M217,ps217-manhattan
02M225,ps225-manhattan
02M234,ps234-manhattan
02M255,ps255-manhattan
02M260,ps260-manhattan
02M276,ps276-manhattan
02M288,ps288-manhattan
02M289,ps289-manhattan
02M290,ps290-manhattan
02M294,ps294-manhattan
02M296,ps296-manhattan
02M298,ps298-manhattan
02M300,ps300-manhattan
02M303,ps303-manhattan
02M305,ps305-manhattan
02M308,ps308-manhattan
02M312,ps312-manhattan
02M313,ps313-manhattan
02M347,ps347-manhattan
02M376,ps376-manhattan
02M392,ps392-manhattan
02M393,ps393-manhattan
02M394,ps394-manhattan
02M397,ps397-manhattan
02M407,ps407-manhattan
02M408,ps408-manhattan
02M411,ps411-manhattan
02M412,ps412-manhattan
02M413,ps413-manhattan
02M414,ps414-manhattan
02M416,ps416-manhattan
02M418,ps418-manhattan
02M419,ps419-manhattan
02M420,ps420-manhattan
02M422,ps422-manhattan
02M425,ps425-manhattan
02M429,ps429-manhattan
02M439,ps439-manhattan
02M440,ps440-manhattan
02M442,ps442-manhattan
02M449,ps449-manhattan
02M459,ps459-manhattan
02M475,ps475-manhattan
02M489,ps489-manhattan
02M500,ps500-manhattan
02M519,ps519-manhattan
02M520,ps520-manhattan
02M529,ps529-manhattan
02M531,ps531-manhattan
02M542,ps542-manhattan
02M543,ps543-manhattan
02M544,ps544-manhattan
02M545,ps545-manhattan
02M550,ps550-manhattan
02M560,ps560-manhattan
02M565,ps565-manhattan
02M570,ps570-manhattan
02M575,ps575-manhattan
02M580,ps580-manhattan
02M586,ps586-manhattan
02M600,ps600-manhattan
02M605,ps605-manhattan
02M615,ps615-manhattan
02M625,ps625-manhattan
02M630,ps630-manhattan
02M655,ps655-manhattan
02M690,ps690-manhattan
02M896,ps896-manhattan
03M009,ps9-manhattan
03M044,ps44-manhattan
03M054,ps54-manhattan
03M075,ps75-manhattan
03M076,ps76-manhattan
03M084,ps84-manhattan
03M087,ps87-manhattan
03M145,ps145-manhattan
03M149,ps149-manhattan
03M163,ps163-manhattan
03M165,ps165-manhattan
03M166,ps166-manhattan
03M180,ps180-manhattan
03M185,ps185-manhattan
03M191,ps191-manhattan
03M199,ps199-manhattan
03M208,ps208-manhattan
03M241,ps241-manhattan
03M242,ps242-manhattan
03M243,ps243-manhattan
03M245,ps245-manhattan
03M246,ps246-manhattan
03M247,ps247-manhattan
03M250,ps250-manhattan
03M256,ps256-manhattan
03M258,ps258-manhattan
03M283,ps283-manhattan
03M299,ps299-manhattan
03M307,ps307-manhattan
03M333,ps333-manhattan
03M334,ps334-manhattan
03M402,ps402-manhattan
03M403,ps403-manhattan
03M404,ps404-manhattan
03M415,ps415-manhattan
03M421,ps421-manhattan
03M470,ps470-manhattan
03M479,ps479-manhattan
03M485,ps485-manhattan
03M492,ps492-manhattan
03M494,ps494-manhattan
03M505,ps505-manhattan
03M541,ps541-manhattan
03M859,ps859-manhattan
03M860,ps860-manhattan
03M862,ps862-manhattan
04M007,ps7-manhattan
04M012,ps12-manhattan
04M013,ps13-manhattan
04M037,ps37-manhattan
04M038,ps38-manhattan
04M045,ps45-manhattan
04M050,ps50-manhattan
04M057,ps57-manhattan
04M072,ps72-manhattan
04M083,ps83-manhattan
04M096,ps96-manhattan
04M101,ps101-manhattan
04M102,ps102-manhattan
04M108,ps108-manhattan
04M112,ps112-manhattan
04M117,ps117-manhattan
04M146,ps146-manhattan
04M155,ps155-manhattan
04M171,ps171-manhattan
04M182,ps182-manhattan
04M206,ps206-manhattan
04M224,ps224-manhattan
04M372,ps372-manhattan
04M375,ps375-manhattan
04M377,ps377-manhattan
04M381,ps381-manhattan
04M406,ps406-manhattan
04M409,ps409-manhattan
04M435,ps435-manhattan
04M495,ps495-manhattan
04M497,ps497-manhattan
04M555,ps555-manhattan
04M610,ps610-manhattan
04M635,ps635-manhattan
04M680,ps680-manhattan
04M695,ps695-manhattan
04M825,ps825-manhattan
04M964,ps964-manhattan
05M030,ps30-manhattan
05M036,ps36-manhattan
05M046,ps46-manhattan
05M092,ps92-manhattan
05M123,ps123-manhattan
05M125,ps125-manhattan
05M129,ps129-manhattan
05M133,ps133-manhattan
05M154,ps154-manhattan
05M161,ps161-manhattan
05M175,ps175-manhattan
05M194,ps194-manhattan
05M195,ps195-manhattan
05M197,ps197-manhattan
05M200,ps200-manhattan
05M285,ps285-manhattan
05M286,ps286-manhattan
05M302,ps302-manhattan
05M304,ps304-manhattan
05M317,ps317-manhattan
05M318,ps318-manhattan
05M344,ps344-manhattan
05M362,ps362-manhattan
05M367,ps367-manhattan
05M369,ps369-manhattan
05M410,ps410-manhattan
05M469,ps469-manhattan
05M499,ps499-manhattan
05M685,ps685-manhattan
06M004,ps4-manhattan
06M005,ps5-manhattan
06M008,ps8-manhattan
06M018,ps18-manhattan
06M028,ps28-manhattan
06M048,ps48-manhattan
06M052,ps52-manhattan
06M098,ps98-manhattan
06M115,ps115-manhattan
06M128,ps128-manhattan
06M132,ps132-manhattan
06M143,ps143-manhattan
06M152,ps152-manhattan
06M153,ps153-manhattan
06M173,ps173-manhattan
06M178,ps178-manhattan
06M187,ps187-manhattan
06M189,ps189-manhattan
06M192,ps192-manhattan
06M218,ps218-manhattan
06M223,ps223-manhattan
06M278,ps278-manhattan
06M293,ps293-manhattan
06M311,ps311-manhattan
06M314,ps314-manhattan
06M319,ps319-manhattan
06M321,ps321-manhattan
06M322,ps322-manhattan
06M324,ps324-manhattan
06M325,ps325-manhattan
06M326,ps326-manhattan
06M328,ps328-manhattan
06M346,ps346-manhattan
06M348,ps348-manhattan
06M349,ps349-manhattan
06M366,ps366-manhattan
06M423,ps423-manhattan
06M462,ps462-manhattan
06M463,ps463-manhattan
06M467,ps467-manhattan
06M468,ps468-manhattan
06M528,ps528-manhattan
06M540,ps540-manhattan
06M552,ps552-manhattan
75M035,ps35-manhattan
75M079,ps79-manhattan
75M094,ps94-manhattan
75M138,ps138-manhattan
75M169,ps169-manhattan
