DBN,streeteasy_id
24Q005,ps5-queens
24Q007,ps7-queens
24Q012,ps12-queens
24Q013,ps13-queens
24Q014,ps14-queens
24Q019,ps19-queens
24Q028,ps28-queens
24Q049,ps49-queens
24Q058,ps58-queens
24Q061,ps61-queens
24Q068,ps68-queens
24Q071,ps71-queens
24Q073,ps73-queens
24Q077,ps77-queens
24Q081,ps81-queens
24Q087,ps87-queens
24Q088,ps88-queens
24Q089,ps89-queens
24Q091,ps91-queens
24Q093,ps93-queens
24Q102,ps102-queens
24Q113,ps113-queens
24Q119,ps119-queens
24Q125,ps125-queens
24Q143,ps143-queens
24Q153,ps153-queens
24Q199,ps199-queens
24Q229,ps229-queens
24Q239,ps239-queens
24Q264,ps264-queens
24Q267,ps267-queens
24Q293,ps293-queens
24Q296,ps296-queens
24Q299,ps299-queens
24Q305,ps305-queens
24Q307,ps307-queens
24Q455,ps455-queens
24Q485,ps485-queens
24Q520,ps520-queens
24Q530,ps530-queens
24Q550,ps550-queens
24Q560,ps560-queens
24Q600,ps600-queens
24Q610,ps610-queens
24Q744,ps744-queens
24Q877,ps877-queens
25Q020,ps20-queens
25Q021,ps21-queens
25Q022,ps22-queens
25Q024,ps24-queens
25Q025,ps25-queens
25Q029,ps29-queens
25Q032,ps32-queens
25Q079,ps79-queens
25Q107,ps107-queens
25Q120,ps120-queens
25Q129,ps129-queens
25Q130,ps130-queens
25Q154,ps154-queens
25Q163,ps163-queens
25Q164,ps164-queens
25Q165,ps165-queens
25Q169,ps169-queens
25Q184,ps184-queens
25Q185,ps185-queens
25Q189,ps189-queens
25Q193,ps193-queens
25Q194,ps194-queens
25Q200,ps200-queens
25Q201,ps201-queens
25Q209,ps209-queens
25Q214,ps214-queens
25Q219,ps219-queens
25Q237,ps237-queens
25Q242,ps242-queens
25Q244,ps244-queens
25Q250,ps250-queens
25Q252,ps252-queens
25Q263,ps263-queens
25Q281,ps281-queens
25Q285,ps285-queens
25Q294,ps294-queens
25Q425,ps425-queens
25Q460,ps460-queens
25Q499,ps499-queens
25Q525,ps525-queens
25Q540,ps540-queens
25Q670,ps670-queens
25Q792,ps792-queens
26Q018,ps18-queens
26Q026,ps26-queens
26Q031,ps31-queens
26Q041,ps41-queens
26Q046,ps46-queens
26Q067,ps67-queens
26Q074,ps74-queens
26Q094,ps94-queens
26Q098,ps98-queens
26Q115,ps115-queens
26Q133,ps133-queens
26Q158,ps158-queens
