DBN,streeteasy_id
31R001,ps1-staten island
31R003,ps3-staten island
31R004,ps4-staten island
31R005,ps5-staten island
31R006,ps6-staten island
31R008,ps8-staten island
31R011,ps11-staten island
31R013,ps13-staten island
31R014,ps14-staten island
31R016,ps16-staten island
31R018,ps18-staten island
31R019,ps19-staten island
31R020,ps20-staten island
31R021,ps21-staten island
31R022,ps22-staten island
31R023,ps23-staten island
31R026,ps26-staten island
31R029,ps29-staten island
31R030,ps30-staten island
31R031,ps31-staten island
31R032,ps32-staten island
31R035,ps35-staten island
31R036,ps36-staten island
31R038,ps38-staten island
31R039,ps39-staten island
31R041,ps41-staten island
31R042,ps42-staten island
31R044,ps44-staten island
31R045,ps45-staten island
31R046,ps46-staten island
31R048,ps48-staten island
31R050,ps50-staten island
31R052,ps52-staten island
31R053,ps53-staten island
31R054,ps54-staten island
31R055,ps55-staten island
31R056,ps56-staten island
31R057,ps57-staten island
31R058,ps58-staten island
31R060,ps60-staten island
31R065,ps65-staten island
31R069,ps69-staten island
75R373,ps373-staten island
